Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,CA,32.94281263,-122.7569561,sdv-pii-wt4qk,sdv-pii-t7lfs,sdv-pii-5mh2l,,sdv-pii-q12z9,1,05/31/2004,,07/26/2008,06/23/2007,13.67797196,1.9685132,2.684103948,3.985316096,8,1,28187068,2,CA,1,0,0,1,0,ecommerce,0,0,0,1,0,0,0,0,0,0,sdv-pii-qxon5,0,0,1,0,0,0,1.357494866,0,acquired
1,PA,49.29835569,-122.7569561,sdv-pii-p8naw,sdv-pii-bbk1u,sdv-pii-ckzkk,sdv-pii-x2atl,sdv-pii-mezu7,0,11/21/2003,09-06-2011,11-03-2005,07/24/2008,-0.856507647,11.47950617,,,10,2,11000,3,CA,1,0,0,0,0,web,0,0,0,0,0,0,0,0,0,0,sdv-pii-35vnc,0,1,1,0,0,0,2.486120909,1,acquired
2,WA,49.86281487,-84.95391031,sdv-pii-z7zny,sdv-pii-y3g5j,sdv-pii-vtepx,,sdv-pii-5r6oq,0,01/27/2003,,05/25/2004,04-06-2007,0.720495689,4.982953062,3.100896945,4.816792949,3,2,23664434,1,CA,0,0,0,0,0,enterprise,0,0,0,0,0,0,0,1,0,0,sdv-pii-d0wc5,0,0,1,0,0,0,12.53221325,1,acquired
3,CA,34.9081869,-122.7569561,sdv-pii-d3t5d,sdv-pii-y1uxm,sdv-pii-ha54t,sdv-pii-5yqoz,sdv-pii-u2cvq,0,05/27/2004,10/14/2011,07/13/2007,09-04-2006,-0.029498215,1.018723611,0.410944875,4.259459753,29,2,46081337,3,CA,1,1,0,0,1,mobile,0,0,0,0,0,0,1,0,0,0,sdv-pii-oyy0y,1,0,0,0,0,0,1.960782004,1,acquired
4,MI,41.25630573,-122.7569561,sdv-pii-juxlf,sdv-pii-1nv31,sdv-pii-ceqjx,sdv-pii-v5fjk,sdv-pii-g94qs,1,03/13/2005,,01-09-2004,01-07-2006,1.674115734,1.776983945,1.327455639,3.744216815,14,2,11000,2,WA,0,0,0,0,0,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-3k9y2,0,0,1,0,0,0,4.500748771,1,acquired
5,CA,37.95674708,-122.7569561,sdv-pii-y11p6,sdv-pii-nqx35,sdv-pii-lbnrt,sdv-pii-y490n,sdv-pii-vp5ai,1,06/26/2000,10-01-2011,12-05-2006,05-06-2009,1.521565896,4.686372601,3.907161401,9.124030438,4,2,3548682,2,TX,1,0,0,0,0,hardware,0,0,0,1,0,0,0,0,0,0,sdv-pii-psp5o,0,0,1,0,1,1,1.114435236,1,closed
6,CA,46.11093662,-122.7569561,sdv-pii-zoywg,sdv-pii-4yixf,sdv-pii-jqse7,sdv-pii-bmdho,sdv-pii-2qxae,1,01/13/2008,,05/20/2005,10-06-2008,2.457690972,13.04075803,3.432281963,,37,3,11000,1,PA,0,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,0,sdv-pii-yuske,1,0,1,0,0,0,2.516583136,1,acquired
7,CA,39.90214322,-122.7569561,sdv-pii-r1ecb,sdv-pii-fe1yj,sdv-pii-n7xtl,,sdv-pii-ogtx0,1,05/30/1998,,08/15/2009,09-09-2003,2.940939545,11.34883496,3.08760278,2.527177888,4,2,29913044,4,CA,0,0,0,0,0,cleantech,0,1,0,0,0,0,0,0,0,0,sdv-pii-qfhzz,1,0,1,0,0,1,4.945899266,1,acquired
8,CA,39.69118735,-122.7569561,sdv-pii-i6gls,sdv-pii-2tcif,sdv-pii-9x3r2,sdv-pii-74ztq,sdv-pii-in10a,0,09/23/2002,10/14/2011,05-08-2007,10/15/2004,9.001794322,3.709408341,4.587187644,2.546882039,2,2,8456545,2,CA,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,sdv-pii-gybvq,0,0,0,0,0,0,11.51517605,1,closed
9,CA,34.92397692,-122.7569561,sdv-pii-f8oww,sdv-pii-c8agu,sdv-pii-dmpg3,,sdv-pii-zxqui,0,09/14/2003,10-01-2011,03/28/2008,12/31/2007,-0.193815263,6.722223853,2.443572816,0.610896303,5,2,17662287,2,CA,0,0,0,0,1,enterprise,1,0,1,1,0,0,1,0,0,0,sdv-pii-bwaie,1,0,1,0,0,1,1.647634599,1,acquired
10,DC,42.43472758,-101.555627,sdv-pii-w30p0,sdv-pii-opk0a,sdv-pii-o67ir,sdv-pii-nt8o4,sdv-pii-hcecq,0,10-01-1997,,06/20/2006,12/23/2006,3.560432459,-0.893410278,0.087137434,,1,2,22220739,2,CA,1,0,0,1,0,medical,0,0,0,1,0,0,0,0,0,0,sdv-pii-5wzsz,1,0,1,0,0,0,1,1,acquired
11,CA,42.19463196,-122.7569561,sdv-pii-sglqe,sdv-pii-26b1t,sdv-pii-bcznu,,sdv-pii-ydwu8,0,03-12-2002,,06/15/2006,07/13/2009,4.362206976,5.042064908,13.00067872,-0.601309567,14,2,7671501,3,VA,0,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,0,sdv-pii-v18hs,0,0,1,0,0,0,4.121009242,0,acquired
12,CA,37.53387546,-113.7497686,sdv-pii-rye6d,sdv-pii-45ymy,sdv-pii-aiezr,,sdv-pii-u54vd,0,03/13/2007,08/17/2011,08/18/2003,09/21/2005,-0.240076238,-0.527081709,-0.111433706,-1.019643945,7,3,95179762,4,CA,1,0,0,0,0,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-8pkm0,1,1,1,0,0,0,2.162741448,1,acquired
13,WA,40.68043049,-122.7569561,sdv-pii-72dcg,sdv-pii-8jgmf,sdv-pii-sfeed,,sdv-pii-0fgua,0,09/25/2000,09/15/2011,02-03-2013,12/15/2009,1.746086929,1.4535565,4.70956534,-1.590772017,27,2,7092039,4,CA,1,0,0,0,0,mobile,0,0,0,0,0,0,0,0,0,1,sdv-pii-0lw26,0,0,1,0,0,0,3.549465629,1,acquired
14,OH,37.80002606,-122.7569561,sdv-pii-tkdji,sdv-pii-n5sgb,sdv-pii-uqw13,sdv-pii-ku9sv,sdv-pii-k088e,0,04/15/2000,01-12-2010,05/28/2003,09/29/2009,7.389209288,0.600812608,2.855203337,5.716338369,29,3,3944531,4,WA,0,0,0,1,0,consulting,1,0,0,0,0,0,0,0,0,0,sdv-pii-57kdj,0,0,1,0,0,0,5.321090619,1,acquired
15,CA,40.32131721,-82.50580781,sdv-pii-ms83y,sdv-pii-pm6jc,sdv-pii-uvwib,,sdv-pii-s2fkq,1,02-10-2002,,03/26/2007,05/19/2011,0.439109021,0.765118857,2.762910434,2.975173615,28,1,11000,1,NC,0,1,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,1,sdv-pii-1e4yk,0,0,0,1,0,0,1.90423055,1,acquired
16,AR,37.31394806,-80.86829502,sdv-pii-oc1en,sdv-pii-bt9hi,sdv-pii-z8amu,,sdv-pii-cd1kh,1,08/21/2006,,07/13/2005,02/24/2007,10.97203033,-0.75155619,3.477981114,,5,1,12670148,1,CA,0,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,sdv-pii-ugobf,0,0,1,0,1,0,2.567578272,1,acquired
17,CA,42.05476175,-81.13420496,sdv-pii-f59m5,sdv-pii-44s1y,sdv-pii-e8ifl,,sdv-pii-fshcr,1,01/22/1997,,04/29/2007,01-03-2003,10.42394308,6.333564048,,3.983837369,12,4,33871688,3,MA,1,1,0,0,0,advertising,0,0,0,0,0,0,0,0,0,0,sdv-pii-t1wdw,1,1,1,0,0,0,1,0,acquired
18,CA,41.06899783,-122.7569561,sdv-pii-c5zhi,sdv-pii-iuwcp,sdv-pii-bc4eb,,sdv-pii-mrd8v,0,11/14/2007,10/22/2011,04/22/2005,05/16/2008,5.514752381,3.450965486,,,0,3,2397185,1,CA,0,0,0,0,0,biotech,0,0,0,0,0,0,0,0,0,1,sdv-pii-rkvft,1,0,1,0,0,0,1,1,closed
19,NJ,33.89303549,-81.28895629,sdv-pii-chun5,sdv-pii-uopxy,sdv-pii-k7pn1,sdv-pii-y2clo,sdv-pii-xn3b5,0,07/15/2003,,11-10-2007,11/14/2010,5.559341495,3.190065949,3.529828493,5.160486477,1,1,11000,1,CA,0,0,0,0,1,messaging,0,0,1,0,0,1,0,0,0,0,sdv-pii-xchcn,0,1,1,0,0,0,1.74118302,1,acquired
20,NY,37.63089577,-122.7569561,sdv-pii-ipayn,sdv-pii-u1ev5,sdv-pii-aybdt,sdv-pii-1thoz,sdv-pii-8xoh7,0,03-03-2004,,05/25/2007,07-01-2010,3.196288367,1.903483473,9.145225101,4.038700283,45,1,23664687,3,WA,1,0,0,0,0,biotech,0,1,0,0,0,0,0,0,0,0,sdv-pii-vorp7,0,1,1,1,0,0,5.160069123,0,closed
21,NY,38.02066137,-122.7569561,sdv-pii-gdxgj,sdv-pii-xjkvo,sdv-pii-wp11p,sdv-pii-q9n1l,sdv-pii-ip670,0,04-08-2003,09/21/2011,08/15/2007,12-10-2004,3.280577857,-1.932233991,2.362029354,4.785261291,6,1,11000,2,CA,1,0,0,0,0,analytics,0,1,0,0,0,0,0,0,0,1,sdv-pii-uu1bg,0,1,1,1,0,0,1.292793717,0,closed
22,CA,37.75804707,-122.7569561,sdv-pii-5bjqj,sdv-pii-ansia,sdv-pii-zd4lc,sdv-pii-77cyv,sdv-pii-m7hht,1,06/18/2006,04/21/2011,03/13/2006,02/19/2003,0.471033214,-0.844206251,4.344793107,4.219278406,1,2,100779546,2,CA,0,0,0,0,1,games_video,1,0,0,1,0,0,0,0,0,0,sdv-pii-7j0e7,0,0,1,0,0,1,2.858535768,1,acquired
23,NY,37.35676122,-85.0530082,sdv-pii-0806q,sdv-pii-iwyow,sdv-pii-8rbod,sdv-pii-n3p8o,sdv-pii-w4a1a,0,02-02-2005,09/29/2011,12/17/2005,12/17/2003,2.41424137,2.807153275,2.00218551,,34,2,6088575,3,CA,0,0,0,0,1,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-w1kzx,0,0,1,0,0,0,2.378808533,0,acquired
24,CA,45.80255303,-122.7569561,sdv-pii-bkzqt,sdv-pii-b62mv,sdv-pii-apbpr,,sdv-pii-gauhl,1,03/21/2000,,06-02-2007,03/20/2011,0.08834827,2.781947171,2.691663468,,5,3,91551056,1,WA,0,0,0,0,0,biotech,0,0,0,0,0,0,0,0,0,0,sdv-pii-yefmm,1,1,1,0,0,0,1.16574361,0,closed
25,NH,42.17705927,-77.41264106,sdv-pii-0glvj,sdv-pii-13ff2,sdv-pii-iowpz,,sdv-pii-3qb43,0,09/19/2005,05/22/2010,01/20/2008,01/28/2009,4.773399202,2.925636969,,4.273632455,32,2,11000,3,CA,1,1,0,0,0,advertising,0,0,0,1,0,0,1,0,0,0,sdv-pii-kx5ip,0,1,0,1,0,1,3.326239212,1,closed
26,CA,38.72222381,-122.7569561,sdv-pii-dmoof,sdv-pii-h20gy,sdv-pii-5jkui,,sdv-pii-pazt7,1,01-06-2006,09/29/2011,09/23/2007,05-03-2008,2.361345645,0.181591335,2.893427573,8.669510225,7,7,11000,3,OH,1,0,0,1,0,biotech,0,0,0,0,0,0,0,0,0,0,sdv-pii-gqzqo,0,0,1,1,1,0,1,1,acquired
27,CA,37.67153353,-122.7569561,sdv-pii-sf8bu,sdv-pii-7wfjz,sdv-pii-lw0qx,,sdv-pii-ikdho,0,05-06-2005,10/24/2011,08/17/2006,03/28/2007,0.168466313,5.905118269,1.233676262,4.912113173,17,1,48388999,3,CA,1,0,0,0,0,games_video,1,0,0,0,0,0,0,0,0,1,sdv-pii-elrvs,0,0,1,0,0,0,3.551535921,1,closed
28,OR,38.25859183,-122.7569561,sdv-pii-1sb5f,sdv-pii-lbfmi,sdv-pii-xi750,sdv-pii-gtbxq,sdv-pii-m21cc,0,01-11-1998,,05/29/2004,03-03-2009,3.788644358,1.552927403,4.08515902,,10,7,43629717,2,TX,0,1,0,0,0,software,0,0,0,0,0,0,0,0,0,1,sdv-pii-vf75b,0,1,1,0,1,0,8.734734815,0,closed
29,CA,40.68492996,-122.7569561,sdv-pii-xwxmp,sdv-pii-6zt7u,sdv-pii-2c266,sdv-pii-9hack,sdv-pii-z1xme,1,06/15/2007,,05/18/2009,12/23/2006,2.332867491,7.635904391,3.919711339,5.136864981,17,3,53857838,3,CA,0,0,0,0,0,games_video,0,0,0,0,0,0,0,0,0,1,sdv-pii-bpm59,0,0,0,1,1,0,5.945199866,1,closed
30,CA,37.59851799,-122.7569561,sdv-pii-b5uoo,sdv-pii-j3yed,sdv-pii-7c24j,,sdv-pii-ekz8m,1,12/15/1998,,01/18/2005,11-05-2004,-0.172231792,1.265160753,,1.357169525,9,2,11000,0,CA,0,0,0,0,0,enterprise,1,0,0,0,0,0,0,0,0,0,sdv-pii-5z8jz,0,0,1,1,1,0,3.088531403,0,acquired
31,CA,48.68133725,-81.83568881,sdv-pii-lmg86,sdv-pii-vtznq,sdv-pii-08pcv,,sdv-pii-98mxq,1,12/22/2003,,04/30/2010,10-11-2010,6.295048925,10.90696731,10.71270537,1.518955548,19,2,22115240,2,CA,0,0,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,sdv-pii-chzxt,1,0,1,0,0,0,5.409870478,1,acquired
32,CA,27.03259861,-122.7569561,sdv-pii-nk1ix,sdv-pii-xiksu,sdv-pii-d4uu8,,sdv-pii-v695z,1,12/28/2005,09/24/2011,08/26/2005,03/16/2009,1.718660932,0.679303462,10.83673493,1.437409119,11,1,9958574,1,CA,0,0,0,0,1,games_video,1,1,0,0,0,0,0,0,0,1,sdv-pii-p6nt9,0,0,0,0,0,0,1.637232628,1,acquired
33,AZ,42.38160873,-85.13119564,sdv-pii-11hkl,sdv-pii-fveka,sdv-pii-fbvk3,,sdv-pii-3cyi2,0,06/22/2004,10/23/2011,07-06-2008,04-12-2003,0.893688996,4.094674387,13.14534624,4.868242811,10,1,17681108,3,MA,1,0,0,0,0,network_hosting,0,0,0,0,0,1,0,0,0,0,sdv-pii-h62zy,0,0,1,0,1,0,3.222025226,1,acquired
34,CA,43.98116746,-122.7569561,sdv-pii-fxwzn,sdv-pii-6kj7r,sdv-pii-el14v,sdv-pii-trl4o,sdv-pii-ptwfk,1,10-10-2007,08/23/2011,07/28/2005,10-10-2005,3.725262856,0.488189469,3.471745458,-2.028184487,23,5,11000,1,CA,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,sdv-pii-x3wcs,0,0,1,0,0,0,3.394614064,1,acquired
35,WA,42.52024463,-122.5255316,sdv-pii-l8pa6,sdv-pii-2cu0n,sdv-pii-5twjt,sdv-pii-zkjng,sdv-pii-zj6il,1,08/26/2003,07-12-2011,10-02-2005,12-06-2008,2.262913014,-0.61864491,3.032058256,6.383435289,15,1,8552998,1,CA,1,0,0,0,0,biotech,0,0,1,0,0,0,0,0,0,0,sdv-pii-f9h3b,1,1,1,0,0,0,1.410354352,1,acquired
36,CA,42.37025986,-122.7569561,sdv-pii-osh5g,sdv-pii-1sx93,sdv-pii-1gova,sdv-pii-akvhz,sdv-pii-utdtv,0,04/18/2003,,06-08-2006,03/27/2005,5.147750038,4.965094454,3.149486884,9.301510074,4,2,14042824,1,IL,1,0,0,0,0,public_relations,0,0,0,1,0,0,0,0,1,1,sdv-pii-qfb3m,1,0,0,0,0,0,1.480945778,0,closed
37,CA,38.4886447,-122.7569561,sdv-pii-b4k8u,sdv-pii-kno75,sdv-pii-y0yl6,sdv-pii-zumlt,sdv-pii-yjhih,0,03/13/1998,,11-05-2007,03/28/2008,9.259813103,7.180326241,0.984027723,6.022505856,11,1,11000,3,CA,0,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,sdv-pii-iifod,0,0,1,1,0,0,3.020345234,1,acquired
38,CA,29.91709389,-122.7569561,sdv-pii-j3wyo,sdv-pii-dorsj,sdv-pii-947f5,sdv-pii-f2ssh,sdv-pii-bvrk9,0,06/15/2008,06/13/2012,11-12-2003,06-11-2004,1.11031589,1.412973915,2.023112587,,5,1,11000,1,CA,1,0,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,sdv-pii-0q435,0,0,1,0,0,0,6.026691536,1,acquired
39,WA,38.31561734,-122.7569561,sdv-pii-t4uoo,sdv-pii-u0qe2,sdv-pii-ther1,,sdv-pii-gzmqs,1,09/28/2005,,05-08-2003,06/25/2010,-0.373584332,0.688499713,0.602052944,,17,3,11000,3,CA,0,0,0,0,0,enterprise,0,0,1,0,0,1,0,0,0,0,sdv-pii-lvx9h,0,0,0,1,1,0,2.002727273,1,closed
40,CA,40.94262109,-121.225311,sdv-pii-gen1v,sdv-pii-9n1oa,sdv-pii-1l3tg,,sdv-pii-4y1j7,0,11/30/1996,,10-05-2008,10/25/2002,1.03312293,-0.60431502,2.60616919,,1,2,11000,1,CA,0,0,1,0,0,semiconductor,0,0,0,0,0,0,0,0,0,0,sdv-pii-5sezh,1,0,1,1,1,0,1.311483257,0,acquired
41,CA,45.23476911,-122.7569561,sdv-pii-gllzf,sdv-pii-g58zt,sdv-pii-8wb78,,sdv-pii-vjyrk,1,06/15/2002,,09-08-2010,05-01-2009,4.670800802,7.553072443,3.890208988,5.849541331,28,4,7234188,5,CA,1,0,1,0,0,messaging,0,0,1,1,0,0,0,0,0,0,sdv-pii-83hy1,0,0,0,0,0,0,9.948797667,1,closed
42,PA,37.42882934,-107.7779779,sdv-pii-ky4dk,sdv-pii-iw6wp,sdv-pii-pfs2t,,sdv-pii-78uqb,1,04-11-2007,,11-01-2004,09-12-2009,0.893208721,-0.618086163,,4.559220774,19,2,11000,1,CA,1,0,1,0,1,software,0,0,1,0,0,0,0,0,0,0,sdv-pii-ua5vg,0,1,1,0,0,0,2.750659437,1,acquired
43,CA,41.45645396,-117.7761433,sdv-pii-rg06z,sdv-pii-dtc0p,sdv-pii-54mlj,sdv-pii-ajnba,sdv-pii-dhs1r,0,11-10-2009,09/27/2011,12/30/2002,03/22/2010,1.308899158,3.178728278,2.360102536,5.327741777,3,2,14178445,2,CA,1,0,0,1,1,biotech,0,1,0,0,0,1,0,0,0,1,sdv-pii-w1o4x,1,1,1,0,0,0,3.28365003,1,closed
44,VA,37.97840318,-122.22059,sdv-pii-2yfot,sdv-pii-4uhz9,sdv-pii-2zb1f,sdv-pii-rzuxt,sdv-pii-49cwq,1,01/13/1999,,08-11-2006,08/27/2006,3.8243499,0.616132259,3.682155323,3.251443348,30,2,9619448,0,MA,0,0,0,0,0,biotech,0,0,0,0,0,0,0,0,0,0,sdv-pii-v53f3,0,0,1,0,0,0,2.186048024,1,acquired
