,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,3000,CO,25.752358,-78.81774946,sdv-pii-xenur,sdv-pii-c079g,sdv-pii-35vev,sdv-pii-vgnee,sdv-pii-07as1,1,05/31/2002,,07-08-2006,09-04-2010,-0.848368175,8.709683443,3.133700953,0.005743291,7,3,11000,3,CA,1,0,0,0,1,software,0,0,0,0,0,0,0,0,0,1,sdv-pii-qknz2,1,0,0,1,0,0,1,1,acquired
1,3001,CA,37.75086936,-117.2233372,sdv-pii-csphg,sdv-pii-3vmvq,sdv-pii-7n32s,,sdv-pii-k3xfr,1,12/18/2005,,09/13/2008,12-08-2010,0.086798923,11.6736714,-0.690646416,,0,5,11000,1,CA,0,0,0,0,0,semiconductor,0,0,0,1,0,0,0,0,0,1,sdv-pii-nnvm0,0,0,0,0,0,0,1.361688897,1,acquired
2,3002,CA,43.81789523,-118.6550412,sdv-pii-czmdp,sdv-pii-h2hd0,sdv-pii-ab39s,,sdv-pii-4azvg,1,03/16/2000,,03/30/2008,10/17/2008,4.474609392,5.398607307,10.14074838,5.150925944,10,1,11000,0,CA,1,0,0,0,0,enterprise,0,0,0,0,0,0,0,0,0,1,sdv-pii-aet9k,0,1,1,0,1,0,1,1,closed
3,3003,CA,42.52962009,-67.25392661,sdv-pii-0l5hk,sdv-pii-xd4yg,sdv-pii-wjpgh,,sdv-pii-7aziw,1,12/20/2005,,02/27/2009,09/21/2010,0.23447211,13.33207647,3.576292767,4.005067988,13,1,11000,3,MN,0,0,0,0,1,biotech,0,0,1,0,0,0,0,0,0,0,sdv-pii-0eipg,0,0,0,0,1,0,1.300856831,1,closed
4,3004,CA,42.30848346,-119.51921,sdv-pii-neud0,sdv-pii-glfnh,sdv-pii-cpja9,sdv-pii-2spyx,sdv-pii-m39ia,0,05/17/2002,,10-05-2009,02-11-2013,4.950996902,1.559460613,3.519235119,,3,2,11000,1,CA,0,1,0,0,1,analytics,1,1,0,1,1,0,0,0,0,0,sdv-pii-3lr08,0,1,1,0,1,0,1,1,closed
5,3005,TX,41.60185431,-116.3864058,sdv-pii-qfhv7,sdv-pii-eyw8n,sdv-pii-83zhr,,sdv-pii-vor6s,1,03-12-2010,09/27/2011,07/20/2010,04/19/2010,1.555675367,1.552031558,15.27154826,2.446379045,1,4,11000,3,CA,0,0,0,0,0,web,0,0,0,0,0,0,0,0,1,0,sdv-pii-dlyhi,0,1,1,0,0,0,3.053201542,1,closed
6,3006,CA,42.39737583,-61.96934868,sdv-pii-r9enl,sdv-pii-jc8sc,sdv-pii-wuag7,,sdv-pii-vf0b6,0,12/18/1996,11-10-2011,07-10-2007,03-12-2009,2.064092896,7.893691577,,4.302769944,11,3,11000,2,CA,1,0,0,0,0,software,0,1,0,0,0,0,0,0,0,0,sdv-pii-tdwkf,0,0,0,0,0,0,1.093510143,1,acquired
7,3007,FL,37.47065467,-116.6521733,sdv-pii-9pgri,sdv-pii-1fvcb,sdv-pii-mpxs9,,sdv-pii-ykmpd,1,12-05-1999,,11-09-2005,09/26/2009,-0.518691471,2.234867699,3.963391745,2.584691749,14,2,11000,0,CA,0,0,0,0,1,messaging,0,0,1,0,0,0,1,0,0,0,sdv-pii-s00bl,1,1,0,0,1,0,4.457467937,0,acquired
8,3008,NY,38.30496029,-74.73828177,sdv-pii-onbeu,sdv-pii-pbzie,sdv-pii-84hji,,sdv-pii-ocnuh,1,01/25/2010,,06/19/2005,06/18/2010,0.329532525,2.086582101,1.129240517,4.15760863,5,2,11000,6,CA,1,0,0,0,0,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-7oxd8,0,0,1,0,0,0,2.40749391,1,acquired
9,3009,CA,34.0803106,-68.31311147,sdv-pii-pkf18,sdv-pii-uxi9p,sdv-pii-okuit,sdv-pii-ig48t,sdv-pii-9zhl3,1,06/16/2002,,02/15/2008,06/25/2010,0.449440208,5.805246257,12.96255219,-2.182938928,6,2,6132329,4,CO,0,0,0,0,0,analytics,0,0,0,0,1,0,0,0,0,1,sdv-pii-twxky,0,0,0,1,1,0,1,1,closed
10,3010,TX,38.17968317,-63.60867189,sdv-pii-66zfk,sdv-pii-7qqms,sdv-pii-9qnlo,sdv-pii-x1seu,sdv-pii-yafm7,1,03/13/2005,,07-11-2004,10/19/2006,0.850398535,4.498920234,2.747374454,1.628207235,12,2,11000,3,IL,0,0,0,0,0,news,0,0,0,0,0,0,0,0,0,1,sdv-pii-ddsr7,0,0,0,0,0,0,2.319787166,0,acquired
11,3011,CA,40.65196371,-72.94465884,sdv-pii-p1o6c,sdv-pii-oi06t,sdv-pii-84w0n,,sdv-pii-yxu53,1,01-09-2000,11-01-2011,10/19/2010,09-12-2009,0.3847223,3.305832233,1.087819258,7.419021002,2,5,11000,3,CA,0,0,0,0,0,advertising,0,0,0,0,0,0,0,0,0,0,sdv-pii-iyuae,0,1,1,0,0,0,2.608975693,1,acquired
12,3012,CA,37.8981689,-64.32685655,sdv-pii-2zmkb,sdv-pii-r9p9h,sdv-pii-0hwi9,sdv-pii-2y7qv,sdv-pii-2ba11,1,05-10-2009,,11-01-2009,05/19/2009,0.860665733,3.183445272,3.85712273,1.052747037,4,1,929823,2,CA,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,0,sdv-pii-zqh44,0,0,1,0,0,0,1,1,acquired
